Emotion,Comment
guilt,"When I am dishonest to a friend to whom I am very close.  I  
feel guilty because I know that he gives a different version of  
the truth and I have not corrected these mistakes, and he is  
aware that I know that they are wrong."
fear,When my father was ill and was waiting for the results of his tests.
anger,"When I got caught in the pouring rain last Thursday and did not  
have a raincoat on me."
sadness,When I failed an exam.
shame,"When I had not prepared my contribution to the group as  
thoroughly as the other members, with the result that the  
overall result was poor."
guilt,"When my father and I worked on the house just after he had  
recovered from illness, I was rather lazy.  This meant that he  
had to work hard and was not very well later."
joy,"When I gave birth to my son and saw that he was alive and that I  
had managed it well.  He was born a month too early with a  
malfunctioning lung.  This happened a year ago."
anger,"When a colleague asked me for help at work, despite the fact  
that he had more time to do it than I had."
sadness,"When I did not get the salary increase that I had been expecting  
and understood how little one's work was appreciated."
disgust,When I was weeding the garden I found a lizard in my hand.
shame,"When I met a friend whom I had not seen for a long time and  
heard all about her troubles, I thought that I should have got  
in touch with her earlier."
guilt,"I got angry at my mother for something trivial.  We were in a  
bad mood because my father was very ill and I knew that my mother  
really needed support.  I had reacted wrongly."
joy,"New year's eve 1983/1984, I met my girlfriend.  We stood on the  
steps outside her parents home and I kissed her for the  
first time."
anger,"The editor changed the heading of an article that I had written.   
He considered the heading to be derogatory towards the person I had written  
about."
disgust,"When I saw a picture, in the Gothenburg Post, of a totally  
demolished car with two fatally injured passengers.  The car was  
so badly damaged that they couldn't get the bodies out at the  
scene of the accident."
shame,"One night I had a sexual intercourse with another man.  My sexual  
desire and my curiosity had made me jump into bed with him.  I am  
ashamed of myself now."
guilt,"Due to laziness, I failed the term studies completely at  
University.  I also wanted, to some extent, to protest against my  
parents' expectations."
joy,When I got the loan for my studies.
anger,"On the T.V I saw a news feature on South Africa.  A policeman       
attacked a group of black people with a whip."
sadness,"The thought of having to read a boring book of 400 pages in  
English."
disgust,Grovelling people.
shame,My inability to assert myself positively in a group.
disgust,"Observing someone in the cafeteria noisily gulping in his food,  
having extremely bad manners."
shame,"I guess I have often been ashamed after having talked badly of  
other people."
guilt,Having been angry and unpleasant towards my parents.
joy,"When my sister - after a history of one abortion and one  
stillbirth - gave birth to a perfectly healty boy."
fear,"When my sister had the still born child, she was emotionally very  
deep down, and it took her a long time to recover."
disgust,"I felt some disgust for my boyfriend for a time, after he had  
left me."
guilt,"Before an accident, my aunt offered me the front seat of the car,  
next to the driver. I declined, she took that seat and was killed  
there when the car crashed."
joy,"Unexpected visit by a close friend, whom I hadn't seen for half a  
year."
disgust,Nothing.
guilt,Little contact with my father before he died.
joy,"When I was accepted as a student at the college, not having  
thought it possible."
fear,"When I was the first to arrive at the scene after an accident,  
and found that a close school friend had been killed."
disgust,Not applicable.
anger,"I went to a lecture and once again it had been cancelled, this  
was the second time.  One had a negative attitude towards the  
lecturer. 
"
shame,"When we were at home, my husband and I, he made a remark about  
something I had done, in a perfectly friendly manner.  My deed  
had been unjust and I knew that my husband was right, therefore my  
sense of shame."
fear,"I went to practice in Sweden during summer, and I was afraid that  
I would not do well."
anger,"In the holiday cottage of our association, two of my pals came to  
wake me up early one morning by bringing a radio played at the  
highest volume into my room - it was the morning service at its  
loudest."
sadness,My grandmother died suddenly last summer.
disgust,"My superior at the summer job swindled customers as much as he  
could, and once put me in a difficult situation after which I  
could not but detest him."
guilt,"Our association had Polish visitors and when they were going back  
by boat I did not go to see them off (I am the chairman of the  
association)."
guilt,"I had told my boyfriend that I did not want to go on with our  
relationship.  I knew that I was important to him but I wanted to  
be free.  I saw that this was difficult for him but I remained  
firm and did not change my mind."
joy,"Last night I had a chat with a fellow student.  I had known her  
for about half a year, and for the first time we were speaking  
""the same language""- meaning an inspiring discussion and  
encounter."
anger,"[ I sometimes quarrel with my mother because she blames me,  
though I have not in any way been connected to some events.]"
disgust,"In the evening, while I was watching TV, my little brother came  
in and started eating food he had brought from the kitchen while  
I was trying to concentrate on the program."
shame,"My little brother was arrested by the police at the railway station after  
he had drunk some beer."
joy,"I met a dear friend of mine after a long time.  I expressed my feelings  
in our own usual way, by mutual scolding and abusing (with  
complete understanding) and by touching, patting and taking the  
hand of the other person, etc..."
fear,"I felt fear of the purest kind after a car accident.  The  
incident and images of horror kept coming back to my mind.  I  
wondered what could have happened to my sister, my friend and me,  
though nothing very serious actually happened."
anger,"Two boys whom I know were telling me, in an indecent manner, how  
they had teased a young and shy girl I know.  They had despised  
her conviction, scorned and touched her.  I got very angry and  
did not try to conceal it and gave it back to them."
sadness,"My sweetheart left me, or rather we decided to break it off by  
mutual consent.  The consequences were - unrestrained weeping,  
feelings of loneliness, hopelessness and disconsolation.  I felt  
that I should find a friend, to talk to joyfully and to forget."
disgust,"Out of sheer curiosity, I went to see a pornographic movie in  
Copenhagen.  The room was full of men, who panted and  
masturbated.  Very disgusting."
guilt,Forced to fill in a questionnaire.
fear,When my dog ran out on thin ice last spring.
anger,"When my tennis match was interrupted because a kid cycled right  
into the court."
fear,Risk of being involved in a fight after a party.
sadness,After an exam which I failed.
guilt,"I saw a neighbour, from the same appartment block as me, lying     
on the road.  He could have been injured or ill.  I kept 20  
metres away and did not go to help him."
fear,"When I was cycling to school, I nearly got knocked down by a car  
which (overtook me too closely) did not give me any swerving space."
anger,"When I was deputy manager during the Summer, certain deputies  
took liberties, more than what was normal."
disgust,Dog dirt which thaws in the spring.
guilt,[ Can not think of anything just now.]
fear,Was nearly knocked down by a car.
anger,"I reached the bus stop and realized that I had forgotten my bus  
pass."
sadness,"My current work load is too much.  The feeling comes back from  
time to time."
joy,When my one year old son gives me a spontaneous kiss.
fear,When someone close to me is travelling by car and is delayed.
anger,When someone does something wrong which affects me negatively.
sadness,When I think about my parents getting old.
guilt,"I do not have the time for other people's problems.  My  
mother-in-law is sometimes depressed and I do not have the time,  
the desire or the strength to help."
joy,"An ex-colleague asked me if I was interested in working in their  
accounts bureau.  They needed ""clever people"" and he had  
""immediately thought of me."""
fear,"I was driving and a deer suddenly appeared in front of the  
car when there was a lot of traffic behind me."
anger,I saw a report on T.V news on apartheid in South Africa. 
joy,When my girlfriend became pregnant.
fear,When I nearly collided with another car.
anger,The time when someone let the air out of the tyres of my cycle.
sadness,When I read a lot and did not remember anything.
guilt,The time that I had to put my dog to sleep.
sadness,Long illness.
joy,When I passed an exam.
anger,When I missed the tram after having run for it.
sadness,The inability to read a book at college.
disgust,If a guy one is not interested in makes advances.
shame,I drink wine too often.
guilt,I do not study enough as I do not understand it properly.
joy,"I worked at a lawyer's office during Summer and I got a very  
good reference from him."
fear,"I had been watching a triller a dark night in the country and I  
had to go the outside toilet on my own. "
anger,"When I am accused of something I have not done, I get unbelievably  
angry."
sadness,"When I began to read a thick book, which I had a limited time to  
read.  Also when I have a lot of work to do and I cannot keep up."
disgust,Someone vomited on the street.
guilt,"I had lunch with my ex-boyfriend and did not mention it to my  
fiancee.  I felt guilty despite the fact that I felt nothing for  
my ex-boyfriend."
joy,When I was finally qualified for my profession.
fear,Someone attacked me with a knife.
anger,Someone drove into my car and then denied that it had happened.
sadness,When I was told that my friend's wife had cancer.
shame,When I boxed my child's ears.
guilt,When I was fined for speeding.
fear,"I was going home by car late one night when it was cold, dark and  
windy.  I became rather panicky on the way to my house."
anger,Quarrel in the family.
shame,Emptied a bucket of water in a hospital.
joy,When I get a hug from someone I love.
fear,"I was driving very fast on a small road and I met an oncoming car  
in a right handed bend.  The other driver was on his own side of  
the road and I had to skid out of it to avoid a collision.  It  
was dark."
anger,"My car had been towed away by the traffic police because it had  
been wrongly parked.  However the sign had been put up only after  
I had already parked."
sadness,After an operation I had to stay in bed for a long time.
disgust,"I was forced to stay in the canteen and eat the food that I had  
not asked for but got it anyway."
guilt,"By mistake I took a book from the library which was not supposed  
to be loaned out."
joy,When I won an unexpected sum of money.
disgust,"In a warm bus full of people, someone vomited and the whole bus  
stank."
shame,"I complained about a colleague's behaviour as she goes back on  
her word, is often absent and is irresponsible.  I found out that  
she was an alcoholic and was trying to fight againt her  
addiction."
guilt,"I spoke to my mother on the phone.  She had skin cancer and was  
waiting to be operated.  I forgot to ask her the date of the  
operation and just before finishing our conversation she gave me  
the date in passing. "
fear,"When I was cycling through the park late one night, two people  
jumped out of the woods and tried to stop me.  There were  
shouting something at the same time."
disgust,"When I read a newspaper article on a young girl who had been  
raped and assaulted one night by several men when she was unconscious."
shame,"My mother revealed personal details about me and the  
negative aspects of my character to other people when I was  
present but unable to defend myself."
guilt,"I was unfaithful to my partner once when he was working abroad  
for a long period."
fear,When I saw a large spider crawling up the wall.
anger,"My employer took too many aspirins for a bad back and also drank  
an enormous amount of spirit.  This was dangerous  and he did  
not understand that he had done anything wrong."
sadness,"When I left New York, and all my family and my friends behind me."
disgust,"When I slept with a guy because my best friend wanted me to.   
He had never had intercourse with anyone and had a terrible  
complex about it."
shame,"When I dated a close girlfriend's boyfriend a few times. He told  
me that it was over between them and I accepted it.  When she  
found out she finished our friendship."
guilt,"When I broke off with my boyfriend after three years.  It was  
quite unexpected for him and there was no particular reason for  
the break up, such as someone else."
sadness,I feel sad about an event I can not influence.
disgust,"When a member of the family complains about the food that is  
served, it disgusts me."
guilt,"I have chosen to put my son in a private school were the  
examination marks are low.  Every time that he gives me his term  
results I am left with a sense of guilt."
joy,"When I was informed that I had been accepted as a student of  
Psychology."
fear,"When I was in a little fishing boat and we ran into hard weather  
in the open sea."
anger,"When I found out that the guy I was dating at a particular time  
had a steady relationship going on with someone else for a long  
time."
shame,"At primary school, when I vomited in front of others in the middle   
of a lesson."
fear,When my son has a pain in his leg (for no apparent reason).  
disgust,"At a certain person's lack of cleanliness, at home and  
personally."
guilt,When I lost something that was valuable to my sister.
joy,When my son was born.
shame,When I was caught stealing money from my father.
guilt,"I stole a coconut cake from a reception table and when I put  
in my mouth I realized that the host was watching me."
fear,"When I was reprimanded by the manager of the hotel where I  
worked during Autumn 1984."
anger,"When my parents drove me to a nearby place and went home  
immediately instead of waiting a few hours.  They could have  
easily waited."
sadness,"When my ex-girlfriend and I discovered that there was a certain risk  
of her being pregnant."
disgust,"When I was about to clean the draining board and saw it looked  
underneath the sink (I live in a students hostel)."
joy,"When my older sister told us that she was thinking of joining the  
rest of the family for the winter sports holiday."
fear,"Slept in a chapel and in the middle of the night I realized that  
there was someeone else in the chapel.  I never discovered who  
it was and why he was there."
sadness,"I talked to my boyfriend on the phone when I was in high spirits  
and had a lot to tell him.  I had been looking forward to this  
conversation and he did not listen to me to the extent that I  
had anticipated."
guilt,"As I could not be home before midnight I called home at 11.30 and  
asked them to leave the door open so that I could get in.  I  
actually woke up the whole family by calling them so late.  My  
mother could not go back to sleep, besides she had a conference    
the next day and really needed to sleep."
joy,When I got through the first day here at the department.
fear,"When I was cycling past a parked car someone opened the door and  
nearly pushed me off my bike and into the traffic."
anger,"When my boyfriend sat up half the night playing computer games  
with a friend."
disgust,When I saw a big spider from very close.
shame,"When I asked a friend to return the money that I had loaned her  
and then remembered that she had repayed me in several ways."
guilt,"When one of my parents insinuates something about the other  
(they are divorced)."
joy,When i was asked to be a child's godmother.
anger,When my mother interfered in my life.
disgust,"The first time that I saw a surgeon cut off a leg and put it in a  
black rubbish bag."
guilt,When I demand too much from my friends.
fear,When I was nearly attackad by a man who had been chasing me.
anger,"When my father asked me if I was a communist, at the same time he  
made it clear that I should no longer see myself as his daughter."
sadness,"When I applied for a job which I thought I had a good chance of  
getting, I was not even granted an interview and did not get the  
job."
shame,"When I as a child of 9 or 10 I was playing doctor with the  
neighbours boys their mother caught us."
joy,"When we were able to afford a new sofa - a leather one which cost  
SEK 20000.  I had waited for it for 2-3 years."
anger,"When my boss enrolled in a course to satisfy his own ends - to  
trample on his associates.  I have the misfortune to have one of  
my superiors in my course."
disgust,Spit and vomit.
shame,Spots on the seat covers of my husband's car.
guilt,"Not speaking to my sister-in-law due to lack of interest in a  
relationship on my side."
joy,"When I recently managed to get my first consulting assignment  
""myself"" i.e on my own initiative."
anger,"When my friend, as usual, forgot the tickets at home for a  
performance.  We missed it."
sadness,"The elections of 1982 and 1985.  The thought of what a social  
democrat and communist majority could achieve, especially ""worker  
share"" funds and its extension."
disgust,"A study visit to a chicken factory : the butchery, the smell,  
the environment and the noise."
shame,Confession to my parents about my involvement in a moped theft.
guilt,"[ No answer as I see very little difference between shame and  
guilt.  Therefore see answer for ""shame"".]"
joy,"When I was appointed to position of trust in a group set up to  
change the working environment."
anger,"When I tried to explain to a plumber, face to face, that the  
toilet was broken and he did not believe it (it had been mended  
ten times)."
sadness,"When the result of a project work was treated nonchalantly  
intead of being criticized by the teacher."
shame,"When I talked maliciously about a colleague at work to someone  
else.  Immediately afterwards I felt ashamed."
guilt,"When I decided to take a week s holiday without consulting the  
family first."
joy,"After my girl and I talked things over our relationship changed  
and became positive.  A diificult time turned into pleasant one."
fear,"When we could not land our plane and we knew that the fuel was  
running out.  Bad weather had already frightened us."
anger,"When I read about Reagan's tactical decision concerning the  
South African boycott."
disgust,"A film were a woman was attacked and raped.  One did not see the  
worst but it had the desired effect - very strong."
shame,"I made a comment and it was interpreted completely differently  
from what I had meant.  When I said it I realized how my mother  
had understood it."
joy,"When I was offered a high position of trust, which I later  
accepted."
anger,"Some noisy guests arrived at the hotel.  I had been slightly  
irritated earlier.  At night when I was trying to sleep they were  
having a party so I went and yelled at them.  I wanted to sleep  
as I had to get up early the next day."
sadness,"When I was told that I had not been successful in getting the job I  
had been expecting.  I was sure that I was sufficiently  
qualified."
disgust,"When my cat vomited and a worm came out which was still alive.  I  
was forced to wipe it up."
guilt,"When I stole money from my mother and she asked me later if I was  
responsible.  I never admitted it."
anger,"Recently when my sister, who is four years younger than me and  
very spoiled, shouted at my mother for no apparent reason .  The  
heart-broken expression on my mother's face made me feel very  
angry."
sadness,"When I watched the T.V programme called ""The living planet"" and  
saw the far reaching environmental destruction caused by man."
disgust,"Disgust is a feeling that I have never experienced with peoplie  
but , on the other hand, it has been with repulsive animals, i;e  
snakes on T.V."
joy,"On a boat trip to Denmark, 14 of us had a lot of fun and we  
spent SEK 10 each on one armed bandits and against all odds we  
won the jackpot of SEK 1000."
fear,"A rainy day, I was cycling downhill and a car door suddenly  
opened and while trying to avoid it the back wheels of my bike  
got caught in the tram tracks.  I somersaulted but had no  
injuries."
sadness,"My girlfriend who had spent 6 months abroad broke off our  
relationship by letter."
disgust,"At the police centre a man between 40-50 was brought in.  He was  
very drunk and in all likelihood had not slept indoors for a long  
time and had relieved himself in his trousers."
shame,"A customer at the shop where I worked came in and asked if the  
goods that he had ordered had arrived.  I had totally  
forgotten about this order and I tried to offer weak excuses."
guilt,"I was 4-5 years old when I hid the bicycle keys of a not very  
good friend.  After a few hours I pretended that I had found  
it."
joy,"When I was at the end-of-term party last week and had fun - was  
happy and sang and drank only soft drinks.  It is possible to  
have a good time without alcohol."
anger,"In a course I thought that I deserved good marks but I only got  
ordinary marks with no justification as to why I was given these  
marks."
sadness,"When I crashed my car and it had to be scrapped then.  It was my  
fault and I feel depressed as I miss the car."
shame,"When I was an evening school teacher it was my job to make the  
coffee but I was not able to get the coffee ready on time and I  
thus arrived half an hour late to the class.  On top of this the  
coffee was undrinkable."
fear,"When I was convinced that someonne had broken into my flat and I  
woke up and heard sounds that frightened me."
anger,"When it became clear that a man had used many people sexually  
and psychologically, despite the fact that many people looked up  
to him.  I understood that one could not trust him and I was  
forced to hide this for a while."
sadness,"When I feel helpless after having tried to help someone without  
any result."
shame,"When as an 8 year old, I wet myself in school."
guilt,"When as a 7 year old, I stole money from my mother."
joy,"When I recently got a very positive answer from a clinic telling  
me that they would willingly assist and collect data for me for a  
clinical pilot study."
fear,Every time I meet a certain dog that has once bitten me.
anger,"When after a lot of provocation my child threw a plate on the  
floor."
sadness,"When I realized that I could not communicate properly with my  
closest friend."
disgust,"When I tried to explain to my child as to why there were  
magazines wiith naked girls on them at the kiosk."
shame,"When I stole a packet of cigarettes from a neighbour  and the  
next day I owned up and returned it."
guilt,"When I was forced to decline the invitation to my mother's 70th  
birthday because of my work committments in another area."
joy,"When I began dansing, the teacher came and told me that I was  
very good and would soon get into the ballet academy. "
fear,"A late Saturday night I found myself locked in the central  
underground station of Stockholm with a group of 50 hard rockers  
who were drunk and equipped with various kinds of chains, etc."
anger,"When I was forced to call the telephone company about a bill  
concerning a disconnected phone belonging to my landlord.  The  
bill was four months overdue and in the meanwhile he had been  
using my phone, he seemed to have no intention of having his own  
phone reconnected."
disgust,"When I saw a T.V programme on animals in the film world  
(mistreated and used)."
shame,"When I was 13 years old I wrote passionate love letters to my  
boyfriend and I later found out that his sister had read them."
guilt,"When I ""hated"" one of mmy flatmates who was nice to me."
fear,"A four year girl ran away from her father straight in front of my  
car.  I was forced to use the emergency brakes."
anger,[ After an examine I had been satisfied with.]
disgust,When I read racist slogans on the walls.
shame,About Sweden's arms exports.
guilt,Not doing something I had promised.
joy,When I gave birth to a healthy boy.
fear,"When my husband and I spent a night by ourselves in a house which  
was in an area on the outskirts of a large town with which we were   
not familiar.  We  heard strange noises outside the house and the   
house had glass walls so the whole thing was even more  
frightening."
anger,"Jealous of my husband's old girlfriend.  We met her with her  
husband and there was a lot of reminiscing."
sadness,"When my daughter had problems with her friends and I could see  
her predicament from the window.  She was given a the cold  
shoulder."
guilt,"When my middle child became very difficult to handle after the  
birth of his baby brother and I did not have any patience with  
him."
joy,"When my husband and I decided to take a few days holiday after a  
particularly trying period."
fear,"Before a hospital visit prior to a D&C under anasthesia for an  
expected miscarriage."
anger,Exchange of points of view with my sister on a family matter.
sadness,Treatment to become pregnant with a negative result.
guilt,At work a boy was injured because of my lack of supervision.
fear,"During labour when the foetal sounds became faint and there was a  
big alert for a forceps delivery."
disgust,The lift of Stockholm central station stank of vomit and urine.
guilt,"I get irritated with my son when he screams or is sick all over  
his clean clothes."
joy,The high school entrance exam.
fear,"A gang of screaming and drunk youths ""captured"" a tram."
anger,"An unjust refree decision at a sports event when I was the team  
leader."
sadness,When my girlfriend left me.
shame,When I was given detention at secondary school.
joy,"Yesterday, when the final whistle blew at the final match between  
OIS and IFK and it was certain that OIS had won the Swedish  
title."
fear,"I was teaching someone to drive and when we were about to crash I  
was scared."
sadness,"When my dad gives priority to my kid brother's band and his  
other activities.  We both play in different bands and rehearse  
in my parents garage."
disgust,"A friend unjustly put the blame on me to relieve his conscience  
and also spread lies for the same purpose."
shame,"My behaviour at a recent party.  I passed out early, luckily."
guilt,"When I was face to face with my deceived friend after sleeping  
with his wife."
fear,"When I missed crashing, by a hair's breadth, into a man who came  
out 20 metres ahead of me when I was driving at 110km/h."
sadness,When I could not do anything because of a bad back.
disgust,"When I discovered that the house we had hired in Tonga was full  
of cockroaches."
joy,"When I passed the driving test three weeks ago and got my  
licence."
joy,When I met friends I had not seen for the last 2-4 years.
fear,When a guy chased me when I was out jogging.
anger,When the morning newspaper has not arrived.
fear,A reoccurring fear that something will happen to my relatives.
guilt,"When I argue with my sister.  It feels sometimes that I have the  
upper hand and I use it.  I often argue better and this makes her  
terribly angry."
joy,I was very happy when I got an attractive Summer job.
joy,The birth of my child.
sadness,I did not quite succeed in breast feeding my baby.
shame,"I fell on the ground while crossing the street.  My cap covered  
my eyes and I felt quite ""difficult""."
guilt,"I have a two-month old baby.  When I came here, to the  
university, to attend lectures, I had to leave the baby with his  
father.  I felt guilty."
anger,"When our religion teacher presented shocking sectarian thoughts  
and doom's day as official teaching."
sadness,"My grandfather died, when I was an exchange student in the USA."
guilt,I stole carrots and got caught.  I had to apologize to the owner.
joy,"In the underground's escalator, a youngish bum asked me for  
money.  Although I did not give him anything, the fellow told me  
that I was really good-looking.  A man who was in front of me  
also turned to look at me."
anger,"In the student kitchen that we share, somebody drank from my  
juice pot (one litre) so that I only got one glass out of the  
whole pot."
disgust,"During the week-end at home, my mother fries greasy and unhealthy  
meat dishes which make me feel sick."
shame,"I was wearing slippery shoes and I tumbled down in a place where  
there were many people walking by."
fear,"At about nine p.m., I went home by bike on a dark cycle-track;  
because of lack of time I had to take the short-cut."
fear,"Once I had to go home on foot at 5 a.m. I had to pass through a  
forest and I was going alone."
anger,"I missed the train and had to wait for the next for two hours.  
For this reason I missed an appointment which had been very  
important for me."
disgust,"When I went home by train from Sicilia, I was molested by a man."
shame,"I lied to someone and some time later this person found out that  
I had not told him the truth."
fear,"A friend's father had died, I was to come and see this friend  
although I did not know his family."
anger,"I was watching TV with a friend. After the first film I wanted to  
watch another film on the same channel. My friend switched over  
to the other cannel without asking me what I wanted."
sadness,My boy-friend an I seperated on his initiative.
disgust,"A friend's boy-friend treated her very badly, let her serve him,  
provoked her and just utilized her."
shame,"I had lied to a person because I had thought that I could not  
tell him the truth. When he found out he was not angry but  
understanding. We talked the whole thing over."
joy,"After having considered it for hours I was able to overcome my  
scruples and to call a friend with whom I had fallen in love. I  
realized that my decision was right - and was very glad."
anger,"I moved to a flat. A friend who had lived there before, had left  
the flat in a terrible mess. I was very angry about that  
sloppiness and impudence."
sadness,"My father had a complicated operation. A long time before and  
also a long time after that, we did not know how he would get  
over it. During all that time I felt very sad."
shame,"Quite recently I realized that I had had some erroneous views  
about life. For instance, I had always lived for other people,  
had forgotten my own person and suppressed my own feelings. I was  
ashamed because I had not been concious of that until I had a  
conversation about it with a person."
guilt,"I had a quarrel with near persons. I said many ill-considered  
things and I regretted it when it was to late."
joy,In summer when I was sailing with friends in Greece I felt joy.
fear,"I was riding with a friend in his car. At a speed of 120 km/h on  
the snow-covered motorway I would have liked to get out."
guilt,Meeting a male friend with whose wife I was having an affair.
joy,"Walking along the beach with a friend (another girl), talking,  
picking up shells, laughing, chasing seagulls."
fear,"Climbing a mountain to see a view, towards the top we suddenly  
came across a ledge with a nearly sheer drop on either side,  
which I had to cross."
anger,"A friend suggested in a round-about way that the reason we were  
late for something was because of me, and that I'm often late. I  
know this was partly true, but felt it unjustified that  
particular time and I felt I couldn't do  anything about it  
anyway (i.e. being late)."
sadness,"Talking to a very good friend who had just had a very bad  
experience which was changing his whole way of looking at life  
etc."
anger,During a fight with my best friend.
