Emotion,Comment
3,"At the begining of a new course one is afraid of encountering  
problems one can not manage.  Thoughts revolve around failing  
the subject and the consequences it would have for the future."
4,"While walking in town I noticed how the police harrassed a man  
who was under the influence of alcohol.  They terrified him with  
the thought of arrest by driving close behind him on a pedestrian  
street.  My disgust was directed at the gestures and the facial  
expressions of the policemen; they seemed to be enjoying  
themselves."
5,"When my boyfriend revealed that he knew that I had discovered  
things of an important nature about him, I felt ashamed as I had  
not mentioned it earlier."
6,"When I am dishonest to a friend to whom I am very close.  I  
feel guilty because I know that he gives a different version of  
the truth and I have not corrected these mistakes, and he is  
aware that I know that they are wrong."
1,When my father was ill and was waiting for the results of his tests.
2,"When I got caught in the pouring rain last Thursday and did not  
have a raincoat on me."
3,When I failed an exam.
5,"When I had not prepared my contribution to the group as  
thoroughly as the other members, with the result that the  
overall result was poor."
6,"When my father and I worked on the house just after he had  
recovered from illness, I was rather lazy.  This meant that he  
had to work hard and was not very well later."
0,"When I gave birth to my son and saw that he was alive and that I  
had managed it well.  He was born a month too early with a  
malfunctioning lung.  This happened a year ago."
2,"When a colleague asked me for help at work, despite the fact  
that he had more time to do it than I had."
3,"When I did not get the salary increase that I had been expecting  
and understood how little one's work was appreciated."
4,When I was weeding the garden I found a lizard in my hand.
5,"When I met a friend whom I had not seen for a long time and  
heard all about her troubles, I thought that I should have got  
in touch with her earlier."
6,"I got angry at my mother for something trivial.  We were in a  
bad mood because my father was very ill and I knew that my mother  
really needed support.  I had reacted wrongly."
0,"New year's eve 1983/1984, I met my girlfriend.  We stood on the  
steps outside her parents home and I kissed her for the  
first time."
2,"The editor changed the heading of an article that I had written.   
He considered the heading to be derogatory towards the person I had written  
about."
4,"When I saw a picture, in the Gothenburg Post, of a totally  
demolished car with two fatally injured passengers.  The car was  
so badly damaged that they couldn't get the bodies out at the  
scene of the accident."
5,"One night I had a sexual intercourse with another man.  My sexual  
desire and my curiosity had made me jump into bed with him.  I am  
ashamed of myself now."
6,"Due to laziness, I failed the term studies completely at  
University.  I also wanted, to some extent, to protest against my  
parents' expectations."
0,When I got the loan for my studies.
2,"On the T.V I saw a news feature on South Africa.  A policeman       
attacked a group of black people with a whip."
3,"The thought of having to read a boring book of 400 pages in  
English."
4,Grovelling people.
5,My inability to assert myself positively in a group.
4,"Observing someone in the cafeteria noisily gulping in his food,  
having extremely bad manners."
5,"I guess I have often been ashamed after having talked badly of  
other people."
6,Having been angry and unpleasant towards my parents.
0,"When my sister - after a history of one abortion and one  
stillbirth - gave birth to a perfectly healty boy."
1,"When my sister had the still born child, she was emotionally very  
deep down, and it took her a long time to recover."
4,"I felt some disgust for my boyfriend for a time, after he had  
left me."
6,"Before an accident, my aunt offered me the front seat of the car,  
next to the driver. I declined, she took that seat and was killed  
there when the car crashed."
0,"Unexpected visit by a close friend, whom I hadn't seen for half a  
year."
4,Nothing.
6,Little contact with my father before he died.
0,"When I was accepted as a student at the college, not having  
thought it possible."
1,"When I was the first to arrive at the scene after an accident,  
and found that a close school friend had been killed."
4,Not applicable.
2,"I went to a lecture and once again it had been cancelled, this  
was the second time.  One had a negative attitude towards the  
lecturer. 
"
5,"When we were at home, my husband and I, he made a remark about  
something I had done, in a perfectly friendly manner.  My deed  
had been unjust and I knew that my husband was right, therefore my  
sense of shame."
1,"I went to practice in Sweden during summer, and I was afraid that  
I would not do well."
2,"In the holiday cottage of our association, two of my pals came to  
wake me up early one morning by bringing a radio played at the  
highest volume into my room - it was the morning service at its  
loudest."
3,My grandmother died suddenly last summer.
4,"My superior at the summer job swindled customers as much as he  
could, and once put me in a difficult situation after which I  
could not but detest him."
6,"Our association had Polish visitors and when they were going back  
by boat I did not go to see them off (I am the chairman of the  
association)."
6,"I had told my boyfriend that I did not want to go on with our  
relationship.  I knew that I was important to him but I wanted to  
be free.  I saw that this was difficult for him but I remained  
firm and did not change my mind."
0,"Last night I had a chat with a fellow student.  I had known her  
for about half a year, and for the first time we were speaking  
""the same language""- meaning an inspiring discussion and  
encounter."
2,"[ I sometimes quarrel with my mother because she blames me,  
though I have not in any way been connected to some events.]"
4,"In the evening, while I was watching TV, my little brother came  
in and started eating food he had brought from the kitchen while  
I was trying to concentrate on the program."
5,"My little brother was arrested by the police at the railway station after  
he had drunk some beer."
0,"I met a dear friend of mine after a long time.  I expressed my feelings  
in our own usual way, by mutual scolding and abusing (with  
complete understanding) and by touching, patting and taking the  
hand of the other person, etc..."
1,"I felt fear of the purest kind after a car accident.  The  
incident and images of horror kept coming back to my mind.  I  
wondered what could have happened to my sister, my friend and me,  
though nothing very serious actually happened."
2,"Two boys whom I know were telling me, in an indecent manner, how  
they had teased a young and shy girl I know.  They had despised  
her conviction, scorned and touched her.  I got very angry and  
did not try to conceal it and gave it back to them."
3,"My sweetheart left me, or rather we decided to break it off by  
mutual consent.  The consequences were - unrestrained weeping,  
feelings of loneliness, hopelessness and disconsolation.  I felt  
that I should find a friend, to talk to joyfully and to forget."
4,"Out of sheer curiosity, I went to see a pornographic movie in  
Copenhagen.  The room was full of men, who panted and  
masturbated.  Very disgusting."
6,Forced to fill in a questionnaire.
1,When my dog ran out on thin ice last spring.
2,"When my tennis match was interrupted because a kid cycled right  
into the court."
1,Risk of being involved in a fight after a party.
3,After an exam which I failed.
6,"I saw a neighbour, from the same appartment block as me, lying     
on the road.  He could have been injured or ill.  I kept 20  
metres away and did not go to help him."
1,"When I was cycling to school, I nearly got knocked down by a car  
which (overtook me too closely) did not give me any swerving space."
2,"When I was deputy manager during the Summer, certain deputies  
took liberties, more than what was normal."
4,Dog dirt which thaws in the spring.
6,[ Can not think of anything just now.]
1,Was nearly knocked down by a car.
2,"I reached the bus stop and realized that I had forgotten my bus  
pass."
3,"My current work load is too much.  The feeling comes back from  
time to time."
0,When my one year old son gives me a spontaneous kiss.
1,When someone close to me is travelling by car and is delayed.
2,When someone does something wrong which affects me negatively.
3,When I think about my parents getting old.
6,"I do not have the time for other people's problems.  My  
mother-in-law is sometimes depressed and I do not have the time,  
the desire or the strength to help."
0,"An ex-colleague asked me if I was interested in working in their  
accounts bureau.  They needed ""clever people"" and he had  
""immediately thought of me."""
1,"I was driving and a deer suddenly appeared in front of the  
car when there was a lot of traffic behind me."
2,I saw a report on T.V news on apartheid in South Africa. 
0,When my girlfriend became pregnant.
1,When I nearly collided with another car.
2,The time when someone let the air out of the tyres of my cycle.
3,When I read a lot and did not remember anything.
6,The time that I had to put my dog to sleep.
3,Long illness.
0,When I passed an exam.
2,When I missed the tram after having run for it.
3,The inability to read a book at college.
4,If a guy one is not interested in makes advances.
5,I drink wine too often.
6,I do not study enough as I do not understand it properly.
0,"I worked at a lawyer's office during Summer and I got a very  
good reference from him."
1,"I had been watching a triller a dark night in the country and I  
had to go the outside toilet on my own. "
2,"When I am accused of something I have not done, I get unbelievably  
angry."
3,"When I began to read a thick book, which I had a limited time to  
read.  Also when I have a lot of work to do and I cannot keep up."
4,Someone vomited on the street.
6,"I had lunch with my ex-boyfriend and did not mention it to my  
fiancee.  I felt guilty despite the fact that I felt nothing for  
my ex-boyfriend."
0,When I was finally qualified for my profession.
1,Someone attacked me with a knife.
2,Someone drove into my car and then denied that it had happened.
3,When I was told that my friend's wife had cancer.
5,When I boxed my child's ears.
6,When I was fined for speeding.
1,"I was going home by car late one night when it was cold, dark and  
windy.  I became rather panicky on the way to my house."
2,Quarrel in the family.
5,Emptied a bucket of water in a hospital.
0,When I get a hug from someone I love.
1,"I was driving very fast on a small road and I met an oncoming car  
in a right handed bend.  The other driver was on his own side of  
the road and I had to skid out of it to avoid a collision.  It  
was dark."
2,"My car had been towed away by the traffic police because it had  
been wrongly parked.  However the sign had been put up only after  
I had already parked."
3,After an operation I had to stay in bed for a long time.
4,"I was forced to stay in the canteen and eat the food that I had  
not asked for but got it anyway."
6,"By mistake I took a book from the library which was not supposed  
to be loaned out."
0,When I won an unexpected sum of money.
4,"In a warm bus full of people, someone vomited and the whole bus  
stank."
5,"I complained about a colleague's behaviour as she goes back on  
her word, is often absent and is irresponsible.  I found out that  
she was an alcoholic and was trying to fight againt her  
addiction."
6,"I spoke to my mother on the phone.  She had skin cancer and was  
waiting to be operated.  I forgot to ask her the date of the  
operation and just before finishing our conversation she gave me  
the date in passing. "
1,"When I was cycling through the park late one night, two people  
jumped out of the woods and tried to stop me.  There were  
shouting something at the same time."
4,"When I read a newspaper article on a young girl who had been  
raped and assaulted one night by several men when she was unconscious."
5,"My mother revealed personal details about me and the  
negative aspects of my character to other people when I was  
present but unable to defend myself."
6,"I was unfaithful to my partner once when he was working abroad  
for a long period."
1,When I saw a large spider crawling up the wall.
2,"My employer took too many aspirins for a bad back and also drank  
an enormous amount of spirit.  This was dangerous  and he did  
not understand that he had done anything wrong."
3,"When I left New York, and all my family and my friends behind me."
4,"When I slept with a guy because my best friend wanted me to.   
He had never had intercourse with anyone and had a terrible  
complex about it."
5,"When I dated a close girlfriend's boyfriend a few times. He told  
me that it was over between them and I accepted it.  When she  
found out she finished our friendship."
6,"When I broke off with my boyfriend after three years.  It was  
quite unexpected for him and there was no particular reason for  
the break up, such as someone else."
3,I feel sad about an event I can not influence.
4,"When a member of the family complains about the food that is  
served, it disgusts me."
6,"I have chosen to put my son in a private school were the  
examination marks are low.  Every time that he gives me his term  
results I am left with a sense of guilt."
0,"When I was informed that I had been accepted as a student of  
Psychology."
1,"When I was in a little fishing boat and we ran into hard weather  
in the open sea."
2,"When I found out that the guy I was dating at a particular time  
had a steady relationship going on with someone else for a long  
time."
5,"At primary school, when I vomited in front of others in the middle   
of a lesson."
1,When my son has a pain in his leg (for no apparent reason).  
4,"At a certain person's lack of cleanliness, at home and  
personally."
6,When I lost something that was valuable to my sister.
0,When my son was born.
5,When I was caught stealing money from my father.
6,"I stole a coconut cake from a reception table and when I put  
in my mouth I realized that the host was watching me."
1,"When I was reprimanded by the manager of the hotel where I  
worked during Autumn 1984."
2,"When my parents drove me to a nearby place and went home  
immediately instead of waiting a few hours.  They could have  
easily waited."
3,"When my ex-girlfriend and I discovered that there was a certain risk  
of her being pregnant."
4,"When I was about to clean the draining board and saw it looked  
underneath the sink (I live in a students hostel)."
0,"When my older sister told us that she was thinking of joining the  
rest of the family for the winter sports holiday."
1,"Slept in a chapel and in the middle of the night I realized that  
there was someeone else in the chapel.  I never discovered who  
it was and why he was there."
3,"I talked to my boyfriend on the phone when I was in high spirits  
and had a lot to tell him.  I had been looking forward to this  
conversation and he did not listen to me to the extent that I  
had anticipated."
6,"As I could not be home before midnight I called home at 11.30 and  
asked them to leave the door open so that I could get in.  I  
actually woke up the whole family by calling them so late.  My  
mother could not go back to sleep, besides she had a conference    
the next day and really needed to sleep."
0,When I got through the first day here at the department.
1,"When I was cycling past a parked car someone opened the door and  
nearly pushed me off my bike and into the traffic."
2,"When my boyfriend sat up half the night playing computer games  
with a friend."
4,When I saw a big spider from very close.
5,"When I asked a friend to return the money that I had loaned her  
and then remembered that she had repayed me in several ways."
6,"When one of my parents insinuates something about the other  
(they are divorced)."
0,When i was asked to be a child's godmother.
2,When my mother interfered in my life.
4,"The first time that I saw a surgeon cut off a leg and put it in a  
black rubbish bag."
6,When I demand too much from my friends.
1,When I was nearly attackad by a man who had been chasing me.
2,"When my father asked me if I was a communist, at the same time he  
made it clear that I should no longer see myself as his daughter."
3,"When I applied for a job which I thought I had a good chance of  
getting, I was not even granted an interview and did not get the  
job."
5,"When I as a child of 9 or 10 I was playing doctor with the  
neighbours boys their mother caught us."
0,"When we were able to afford a new sofa - a leather one which cost  
SEK 20000.  I had waited for it for 2-3 years."
2,"When my boss enrolled in a course to satisfy his own ends - to  
trample on his associates.  I have the misfortune to have one of  
my superiors in my course."
4,Spit and vomit.
5,Spots on the seat covers of my husband's car.
6,"Not speaking to my sister-in-law due to lack of interest in a  
relationship on my side."
0,"When I recently managed to get my first consulting assignment  
""myself"" i.e on my own initiative."
2,"When my friend, as usual, forgot the tickets at home for a  
performance.  We missed it."
3,"The elections of 1982 and 1985.  The thought of what a social  
democrat and communist majority could achieve, especially ""worker  
share"" funds and its extension."
4,"A study visit to a chicken factory : the butchery, the smell,  
the environment and the noise."
5,Confession to my parents about my involvement in a moped theft.
6,"[ No answer as I see very little difference between shame and  
guilt.  Therefore see answer for ""shame"".]"
0,"When I was appointed to position of trust in a group set up to  
change the working environment."
2,"When I tried to explain to a plumber, face to face, that the  
toilet was broken and he did not believe it (it had been mended  
ten times)."
3,"When the result of a project work was treated nonchalantly  
intead of being criticized by the teacher."
5,"When I talked maliciously about a colleague at work to someone  
else.  Immediately afterwards I felt ashamed."
6,"When I decided to take a week s holiday without consulting the  
family first."
0,"After my girl and I talked things over our relationship changed  
and became positive.  A diificult time turned into pleasant one."
1,"When we could not land our plane and we knew that the fuel was  
running out.  Bad weather had already frightened us."
2,"When I read about Reagan's tactical decision concerning the  
South African boycott."
4,"A film were a woman was attacked and raped.  One did not see the  
worst but it had the desired effect - very strong."
5,"I made a comment and it was interpreted completely differently  
from what I had meant.  When I said it I realized how my mother  
had understood it."
0,"When I was offered a high position of trust, which I later  
accepted."
2,"Some noisy guests arrived at the hotel.  I had been slightly  
irritated earlier.  At night when I was trying to sleep they were  
having a party so I went and yelled at them.  I wanted to sleep  
as I had to get up early the next day."
3,"When I was told that I had not been successful in getting the job I  
had been expecting.  I was sure that I was sufficiently  
qualified."
4,"When my cat vomited and a worm came out which was still alive.  I  
was forced to wipe it up."
6,"When I stole money from my mother and she asked me later if I was  
responsible.  I never admitted it."
2,"Recently when my sister, who is four years younger than me and  
very spoiled, shouted at my mother for no apparent reason .  The  
heart-broken expression on my mother's face made me feel very  
angry."
3,"When I watched the T.V programme called ""The living planet"" and  
saw the far reaching environmental destruction caused by man."
4,"Disgust is a feeling that I have never experienced with peoplie  
but , on the other hand, it has been with repulsive animals, i;e  
snakes on T.V."
0,"On a boat trip to Denmark, 14 of us had a lot of fun and we  
spent SEK 10 each on one armed bandits and against all odds we  
won the jackpot of SEK 1000."
1,"A rainy day, I was cycling downhill and a car door suddenly  
opened and while trying to avoid it the back wheels of my bike  
got caught in the tram tracks.  I somersaulted but had no  
injuries."
3,"My girlfriend who had spent 6 months abroad broke off our  
relationship by letter."
4,"At the police centre a man between 40-50 was brought in.  He was  
very drunk and in all likelihood had not slept indoors for a long  
time and had relieved himself in his trousers."
5,"A customer at the shop where I worked came in and asked if the  
goods that he had ordered had arrived.  I had totally  
forgotten about this order and I tried to offer weak excuses."
6,"I was 4-5 years old when I hid the bicycle keys of a not very  
good friend.  After a few hours I pretended that I had found  
it."
0,"When I was at the end-of-term party last week and had fun - was  
happy and sang and drank only soft drinks.  It is possible to  
have a good time without alcohol."
2,"In a course I thought that I deserved good marks but I only got  
ordinary marks with no justification as to why I was given these  
marks."
3,"When I crashed my car and it had to be scrapped then.  It was my  
fault and I feel depressed as I miss the car."
5,"When I was an evening school teacher it was my job to make the  
coffee but I was not able to get the coffee ready on time and I  
thus arrived half an hour late to the class.  On top of this the  
coffee was undrinkable."
1,"When I was convinced that someonne had broken into my flat and I  
woke up and heard sounds that frightened me."
2,"When it became clear that a man had used many people sexually  
and psychologically, despite the fact that many people looked up  
to him.  I understood that one could not trust him and I was  
forced to hide this for a while."
3,"When I feel helpless after having tried to help someone without  
any result."
5,"When as an 8 year old, I wet myself in school."
6,"When as a 7 year old, I stole money from my mother."
0,"When I recently got a very positive answer from a clinic telling  
me that they would willingly assist and collect data for me for a  
clinical pilot study."
1,Every time I meet a certain dog that has once bitten me.
2,"When after a lot of provocation my child threw a plate on the  
floor."
3,"When I realized that I could not communicate properly with my  
closest friend."
4,"When I tried to explain to my child as to why there were  
magazines wiith naked girls on them at the kiosk."
5,"When I stole a packet of cigarettes from a neighbour  and the  
next day I owned up and returned it."
6,"When I was forced to decline the invitation to my mother's 70th  
birthday because of my work committments in another area."
0,"When I began dansing, the teacher came and told me that I was  
very good and would soon get into the ballet academy. "
1,"A late Saturday night I found myself locked in the central  
underground station of Stockholm with a group of 50 hard rockers  
who were drunk and equipped with various kinds of chains, etc."
2,"When I was forced to call the telephone company about a bill  
concerning a disconnected phone belonging to my landlord.  The  
bill was four months overdue and in the meanwhile he had been  
using my phone, he seemed to have no intention of having his own  
phone reconnected."
4,"When I saw a T.V programme on animals in the film world  
(mistreated and used)."
5,"When I was 13 years old I wrote passionate love letters to my  
boyfriend and I later found out that his sister had read them."
6,"When I ""hated"" one of mmy flatmates who was nice to me."
1,"A four year girl ran away from her father straight in front of my  
car.  I was forced to use the emergency brakes."
2,[ After an examine I had been satisfied with.]
4,When I read racist slogans on the walls.
5,About Sweden's arms exports.
6,Not doing something I had promised.
0,When I gave birth to a healthy boy.
1,"When my husband and I spent a night by ourselves in a house which  
was in an area on the outskirts of a large town with which we were   
not familiar.  We  heard strange noises outside the house and the   
house had glass walls so the whole thing was even more  
frightening."
2,"Jealous of my husband's old girlfriend.  We met her with her  
husband and there was a lot of reminiscing."
3,"When my daughter had problems with her friends and I could see  
her predicament from the window.  She was given a the cold  
shoulder."
6,"When my middle child became very difficult to handle after the  
birth of his baby brother and I did not have any patience with  
him."
0,"When my husband and I decided to take a few days holiday after a  
particularly trying period."
1,"Before a hospital visit prior to a D&C under anasthesia for an  
expected miscarriage."
2,Exchange of points of view with my sister on a family matter.
3,Treatment to become pregnant with a negative result.
6,At work a boy was injured because of my lack of supervision.
1,"During labour when the foetal sounds became faint and there was a  
big alert for a forceps delivery."
4,The lift of Stockholm central station stank of vomit and urine.
6,"I get irritated with my son when he screams or is sick all over  
his clean clothes."
0,The high school entrance exam.
1,"A gang of screaming and drunk youths ""captured"" a tram."
2,"An unjust refree decision at a sports event when I was the team  
leader."
3,When my girlfriend left me.
5,When I was given detention at secondary school.
0,"Yesterday, when the final whistle blew at the final match between  
OIS and IFK and it was certain that OIS had won the Swedish  
title."
1,"I was teaching someone to drive and when we were about to crash I  
was scared."
3,"When my dad gives priority to my kid brother's band and his  
other activities.  We both play in different bands and rehearse  
in my parents garage."
4,"A friend unjustly put the blame on me to relieve his conscience  
and also spread lies for the same purpose."
5,"My behaviour at a recent party.  I passed out early, luckily."
6,"When I was face to face with my deceived friend after sleeping  
with his wife."
1,"When I missed crashing, by a hair's breadth, into a man who came  
out 20 metres ahead of me when I was driving at 110km/h."
3,When I could not do anything because of a bad back.
4,"When I discovered that the house we had hired in Tonga was full  
of cockroaches."
0,"When I passed the driving test three weeks ago and got my  
licence."
0,When I met friends I had not seen for the last 2-4 years.
1,When a guy chased me when I was out jogging.
2,When the morning newspaper has not arrived.
1,A reoccurring fear that something will happen to my relatives.
6,"When I argue with my sister.  It feels sometimes that I have the  
upper hand and I use it.  I often argue better and this makes her  
terribly angry."
0,I was very happy when I got an attractive Summer job.
0,The birth of my child.
3,I did not quite succeed in breast feeding my baby.
5,"I fell on the ground while crossing the street.  My cap covered  
my eyes and I felt quite ""difficult""."
6,"I have a two-month old baby.  When I came here, to the  
university, to attend lectures, I had to leave the baby with his  
father.  I felt guilty."
2,"When our religion teacher presented shocking sectarian thoughts  
and doom's day as official teaching."
3,"My grandfather died, when I was an exchange student in the USA."
6,I stole carrots and got caught.  I had to apologize to the owner.
0,"In the underground's escalator, a youngish bum asked me for  
money.  Although I did not give him anything, the fellow told me  
that I was really good-looking.  A man who was in front of me  
also turned to look at me."
2,"In the student kitchen that we share, somebody drank from my  
juice pot (one litre) so that I only got one glass out of the  
whole pot."
4,"During the week-end at home, my mother fries greasy and unhealthy  
meat dishes which make me feel sick."
5,"I was wearing slippery shoes and I tumbled down in a place where  
there were many people walking by."
1,"At about nine p.m., I went home by bike on a dark cycle-track;  
because of lack of time I had to take the short-cut."
1,"Once I had to go home on foot at 5 a.m. I had to pass through a  
forest and I was going alone."
2,"I missed the train and had to wait for the next for two hours.  
For this reason I missed an appointment which had been very  
important for me."
4,"When I went home by train from Sicilia, I was molested by a man."
5,"I lied to someone and some time later this person found out that  
I had not told him the truth."
1,"A friend's father had died, I was to come and see this friend  
although I did not know his family."
2,"I was watching TV with a friend. After the first film I wanted to  
watch another film on the same channel. My friend switched over  
to the other cannel without asking me what I wanted."
3,My boy-friend an I seperated on his initiative.
4,"A friend's boy-friend treated her very badly, let her serve him,  
provoked her and just utilized her."
5,"I had lied to a person because I had thought that I could not  
tell him the truth. When he found out he was not angry but  
understanding. We talked the whole thing over."
0,"After having considered it for hours I was able to overcome my  
scruples and to call a friend with whom I had fallen in love. I  
realized that my decision was right - and was very glad."
2,"I moved to a flat. A friend who had lived there before, had left  
the flat in a terrible mess. I was very angry about that  
sloppiness and impudence."
3,"My father had a complicated operation. A long time before and  
also a long time after that, we did not know how he would get  
over it. During all that time I felt very sad."
5,"Quite recently I realized that I had had some erroneous views  
about life. For instance, I had always lived for other people,  
had forgotten my own person and suppressed my own feelings. I was  
ashamed because I had not been concious of that until I had a  
conversation about it with a person."
6,"I had a quarrel with near persons. I said many ill-considered  
things and I regretted it when it was to late."
0,In summer when I was sailing with friends in Greece I felt joy.
1,"I was riding with a friend in his car. At a speed of 120 km/h on  
the snow-covered motorway I would have liked to get out."
6,Meeting a male friend with whose wife I was having an affair.
0,"Walking along the beach with a friend (another girl), talking,  
picking up shells, laughing, chasing seagulls."
1,"Climbing a mountain to see a view, towards the top we suddenly  
came across a ledge with a nearly sheer drop on either side,  
which I had to cross."
2,"A friend suggested in a round-about way that the reason we were  
late for something was because of me, and that I'm often late. I  
know this was partly true, but felt it unjustified that  
particular time and I felt I couldn't do  anything about it  
anyway (i.e. being late)."
3,"Talking to a very good friend who had just had a very bad  
experience which was changing his whole way of looking at life  
etc."
2,During a fight with my best friend.
3,When my dog died.
4,"During a movie in which I saw the effect of white settlers in  
Africa."
6,"Leaving a friend of mine alone at a dance - I felt I should have  
kept her company."
1,"Fear - paralysing - that I would not be accepted by the God who I  
believed to be there because I was ""morally bankrupt"" (before  
becoming a Christian and realising that that was why Christ came to  
free us from sin and to forgive us)."
2,"At my father's treatment of my mother, at his disregard for her,  
and not being committed to her."
3,"At a lack of love of my father for my mum, sadness for him more  
than anyone else because he does not realise how much love and  
happiness there could be between them, and is, and how much he is  
damaging himself apart from mum."
4,"At what I was capable of of selfishly using others for sexual  
encounters, while I held a vision of having a deepening  
above-board (you know, ""girl next door"") devotion to a girl in my  
head. My drives and actions did not match this so consequently I  
felt disgusted at my failure."
5,"At using other people, because of sexual experience that was  
using another to the detriment of both. Anxiety that I may have  
affected another for the worst."
6,"For the above: guilt at not living up to my own moral  
expectation, guilt for not being the type of person my patents  
wanted, guilt for just about bloody everything, just realising  
that I have failed drastically in my own eyes."
